,property_type,seller,status,rate per sqft,price,area,location,RERA
346,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth,Under Construction,"6,899 / sq ft", 2.5 Cr,3624 ,Hyder Nagar,approval by RERA
347,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth,Under Construction,"6,899 / sq ft", 2.31 Cr,3360 ,Hyder Nagar,approval by RERA
348,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth,Under Construction,"6,899 / sq ft", 2.31 Cr,3360 ,Hyder Nagar,approval by RERA
349,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth,Under Construction,"6,899 / sq ft", 1.77 Cr,2570 ,Hyder Nagar,approval by RERA
350,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth,Under Construction,"6,899 / sq ft", 1.77 Cr,2570 ,Hyder Nagar,approval by RERA
351,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth,Under Construction,"6,899 / sq ft", 1.61 Cr,2345 ,Hyder Nagar,approval by RERA
352,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth,Under Construction,"6,899 / sq ft", 1.61 Cr,2345 ,Hyder Nagar,approval by RERA
353,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth,Under Construction,"6,899 / sq ft", 1.44 Cr,2100 ,Hyder Nagar,approval by RERA
354,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth,Under Construction,"6,899 / sq ft", 1.44 Cr,2100 ,Hyder Nagar,approval by RERA
355,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth,Under Construction,"6,899 / sq ft", 1.24 Cr,1810 ,Hyder Nagar,approval by RERA
356,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth,Under Construction,"6,899 / sq ft", 1.24 Cr,1810 ,Hyder Nagar,approval by RERA
357,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth,Under Construction,"6,899 / sq ft", 1.82 Cr,2640 ,Hyder Nagar,approval by RERA
358,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth,Under Construction,"6,899 / sq ft", 1.82 Cr,2640 ,Hyder Nagar,approval by RERA
359,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth,Under Construction,"6,899 / sq ft", 1.88 Cr,2733 ,Hyder Nagar,approval by RERA
360,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth,Under Construction,"6,899 / sq ft", 1.88 Cr,2733 ,Hyder Nagar,approval by RERA
361,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth,Under Construction,"6,899 / sq ft", 1.23 Cr,1784 ,Hyder Nagar,approval by RERA
362,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth,Under Construction,"6,899 / sq ft", 1.23 Cr,1784 ,Hyder Nagar,approval by RERA
363,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth,Under Construction,"6,899 / sq ft", 2.45 Cr,3554 ,Hyder Nagar,approval by RERA
364,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth,Under Construction,"6,899 / sq ft", 2.45 Cr,3554 ,Hyder Nagar,approval by RERA
365,3 BHK Villa in Praneeth Praneeth Pranav Knightwoods,Praneeth,Under Construction,"7,900 / sq ft", 1.58 Cr,2000 ,Ramachandrapuram,approval by RERA
366,3 BHK Villa in Praneeth Praneeth Pranav Knightwoods,Praneeth,Under Construction,"7,900 / sq ft", 1.58 Cr,2000 ,Ramachandrapuram,approval by RERA
367,3 BHK Villa in Praneeth Praneeth Pranav Knightwoods,Praneeth,Under Construction,"8,223 / sq ft", 1.48 Cr,1800 ,Ramachandrapuram,approval by RERA
368,3 BHK Villa in Praneeth Praneeth Pranav Knightwoods,Praneeth,Under Construction,"7,900 / sq ft", 1.58 Cr,2000 ,Ramachandrapuram,approval by RERA
369,3 BHK Villa in Praneeth Praneeth Pranav Knightwoods,Praneeth,Under Construction,"8,223 / sq ft", 1.48 Cr,1800 ,Ramachandrapuram,approval by RERA
370,3 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"5,800 / sq ft", 1.62 Cr,2810 ,Manikonda,approval by RERA
371,3 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"5,800 / sq ft", 98.83 L,1704 ,Manikonda,approval by RERA
372,2 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"5,800 / sq ft", 83.52 L,1440 ,Manikonda,approval by RERA
373,3 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"5,800 / sq ft", 1.07 Cr,1847 ,Manikonda,approval by RERA
374,3 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"5,800 / sq ft", 1.03 Cr,1780 ,Manikonda,approval by RERA
375,3 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"5,800 / sq ft", 1.46 Cr,2521 ,Manikonda,approval by RERA
376,3 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"5,800 / sq ft", 1.17 Cr,2019 ,Manikonda,approval by RERA
377,3 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"5,800 / sq ft", 1.05 Cr,1821 ,Manikonda,approval by RERA
378,3 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"5,800 / sq ft", 1.13 Cr,1960 ,Manikonda,approval by RERA
379,3 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"5,800 / sq ft", 1.05 Cr,1825 ,Manikonda,approval by RERA
380,3 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"5,800 / sq ft", 1.01 Cr,1758 ,Manikonda,approval by RERA
381,3 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"5,800 / sq ft", 1.09 Cr,1896 ,Manikonda,approval by RERA
382,3 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"5,800 / sq ft", 1.06 Cr,1830 ,Manikonda,approval by RERA
383,3 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"5,800 / sq ft", 1.04 Cr,1803 ,Manikonda,approval by RERA
384,2 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"5,800 / sq ft", 77.83 L,1342 ,Manikonda,approval by RERA
385,3 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"5,800 / sq ft", 1.08 Cr,1872 ,Manikonda,approval by RERA
386,3 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"5,800 / sq ft", 1.12 Cr,1941 ,Manikonda,approval by RERA
387,3 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"5,800 / sq ft", 93.72 L,1616 ,Manikonda,approval by RERA
388,3 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"5,800 / sq ft", 1.57 Cr,2712 ,Manikonda,approval by RERA
389,3 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"5,800 / sq ft", 1.03 Cr,1785 ,Manikonda,approval by RERA
390,3 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"5,800 / sq ft", 1.43 Cr,2468 ,Manikonda,approval by RERA
391,3 BHK Apartment in BSCPL Bollineni Bion,BSCPL Infrastructure Ltd,Under Construction,"9,976 / sq ft", 1.83 Cr,1840 ,Kondapur,approval by RERA
392,3 BHK Apartment in BSCPL Bollineni Bion,BSCPL Infrastructure Ltd,Under Construction,"9,892 / sq ft", 1.83 Cr,1855 ,Kondapur,approval by RERA
393,4 BHK Apartment in BSCPL Bollineni Bion,BSCPL Infrastructure Ltd,Under Construction,"10,052 / sq ft", 3.36 Cr,3350 ,Kondapur,approval by RERA
394,2 BHK Independent House,seller,Under Construction,"5,297 / sq ft", 98 L,1850 ,Patancheru,not approval by RERA
395,2 BHK Apartment,seller,Ready to move,"6,363 / sq ft", 70 L,1100 ,Rasoolpura,not approval by RERA
396,2 BHK Apartment,seller,Under Construction,"3,948 / sq ft", 39.68 L,1005 ,Kowkur,not approval by RERA
397,2 BHK Independent Floor,seller,Ready to move,"4,235 / sq ft", 36 L,850 ,Alwal,not approval by RERA
398,2 BHK Villa,seller,Under Construction,"7,333 / sq ft", 1.1 Cr,1500 ,Patancheru,not approval by RERA
399,3 BHK Apartment in Om Sree Heights,Om Sree Builders And Developers,Under Construction,"5,800 / sq ft", 1.47 Cr,2545 ,Yapral,approval by RERA
400,3 BHK Apartment in Om Sree Heights,Om Sree Builders And Developers,Under Construction,"5,800 / sq ft", 1.47 Cr,2545 ,Yapral,approval by RERA
401,3 BHK Apartment in Om Sree Heights,Om Sree Builders And Developers,Under Construction,"5,800 / sq ft", 1.4 Cr,2420 ,Yapral,approval by RERA
402,3 BHK Apartment in Om Sree Heights,Om Sree Builders And Developers,Under Construction,"5,800 / sq ft", 1.4 Cr,2420 ,Yapral,approval by RERA
403,3 BHK Apartment in Om Sree Heights,Om Sree Builders And Developers,Under Construction,"5,800 / sq ft", 1.22 Cr,2105 ,Yapral,approval by RERA
404,3 BHK Apartment in Om Sree Heights,Om Sree Builders And Developers,Under Construction,"5,800 / sq ft", 1.22 Cr,2105 ,Yapral,approval by RERA
405,3 BHK Apartment in Om Sree Heights,Om Sree Builders And Developers,Under Construction,"5,800 / sq ft", 1.61 Cr,2780 ,Yapral,approval by RERA
406,3 BHK Apartment in Om Sree Heights,Om Sree Builders And Developers,Under Construction,"5,800 / sq ft", 1.61 Cr,2780 ,Yapral,approval by RERA
407,3 BHK Apartment in Om Sree Heights,Om Sree Builders And Developers,Under Construction,"5,800 / sq ft", 1.2 Cr,2070 ,Yapral,approval by RERA
408,3 BHK Apartment in Om Sree Heights,Om Sree Builders And Developers,Under Construction,"5,800 / sq ft", 1.2 Cr,2070 ,Yapral,approval by RERA
409,6 BHK Independent House,seller,Ready to move,"6,222 / sq ft", 1.4 Cr,2250 ,Toli Chowki,not approval by RERA
410,5 BHK Independent House,seller,Ready to move,"8,636 / sq ft", 4.75 Cr,5500 ,Ameerpet,not approval by RERA
411,2 BHK Apartment in Idea Shobhanath,seller,Under Construction,"5,000 / sq ft", 60 L,1200 ,Pocharam,approval by RERA
412,2 BHK Apartment in Praneeth Pranav Zenith,seller,Ready to move,"6,380 / sq ft", 67 L,1050 ,Bachupally,not approval by RERA
413,3 BHK Apartment in Hallmark Treasor,seller,Under Construction,"5,529 / sq ft", 94 L,1700 ,Gandipet,approval by RERA
414,3 BHK Apartment in Green Mark Mayfair Apartments,seller,Ready to move,"5,711 / sq ft", 1 Cr,1751 ,Tellapur,not approval by RERA
415,2 BHK Apartment,seller,Ready to move,"6,109 / sq ft", 65 L,1064 ,Boduppal,not approval by RERA
416,2 BHK Apartment,seller,Ready to move,"6,109 / sq ft", 65 L,1064 ,Boduppal,not approval by RERA
417,3 BHK Apartment,seller,Ready to move,"5,333 / sq ft", 80 L,1500 ,Rasoolpura,not approval by RERA
418,3 BHK Apartment in Archies Splendor,seller,Ready to move,"7,500 / sq ft", 1.2 Cr,1600 ,Gachibowli,not approval by RERA
419,3 BHK Apartment in Om Sree Brilliance,Om Sree Builders And Developers,Under Construction,"5,800 / sq ft", 1.27 Cr,2200 ,Sainikpuri,approval by RERA
420,3 BHK Apartment in Om Sree Brilliance,Om Sree Builders And Developers,Under Construction,"5,800 / sq ft", 1.27 Cr,2195 ,Sainikpuri,approval by RERA
421,3 BHK Apartment in Om Sree Brilliance,Om Sree Builders And Developers,Under Construction,"5,800 / sq ft", 1.23 Cr,2130 ,Sainikpuri,approval by RERA
422,3 BHK Apartment in Om Sree Brilliance,Om Sree Builders And Developers,Under Construction,"5,800 / sq ft", 1.24 Cr,2140 ,Sainikpuri,approval by RERA
423,3 BHK Apartment in Reputed Builder PVR Residency,seller,Ready to move,"5,483 / sq ft", 85 L,1550 ,Nizampet,not approval by RERA
424,2 BHK Apartment in Vaibhavi Gayathri Vistas,seller,Ready to move,"7,068 / sq ft", 82 L,1160 ,Miyapur,not approval by RERA
425,2 BHK Independent House,seller,Ready to move,"6,500 / sq ft", 86 L,1323 ,Rampally,not approval by RERA
426,3 BHK Apartment in Manbhum Millennium Residency,seller,Ready to move,"8,484 / sq ft", 1.4 Cr,1650 ,West Marredpally,not approval by RERA
427,3 BHK Apartment in Manbhum Millennium Residency,seller,Ready to move,"8,484 / sq ft", 1.4 Cr,1650 ,West Marredpally,not approval by RERA
