,property_type,seller,status,rate per sqft,price,area,location,RERA
573,3 BHK Apartment in IVR Hill Ridge Springs,seller,Ready to move,"6,857 / sq ft", 1.2 Cr,1750 ,Gachibowli,not approval by RERA
574,3 BHK Apartment,seller,Ready to move,"5,303 / sq ft", 1.05 Cr,1980 ,Manikonda,not approval by RERA
575,2 BHK Independent House,seller,Under Construction,"5,555 / sq ft", 50 L,900 ,Badangpet,not approval by RERA
576,2 BHK Independent House,seller,Ready to move,"11,479 / sq ft", 2.6 Cr,2265 ,Vanasthalipuram,not approval by RERA
577,5 BHK Independent House,seller,Ready to move,"14,705 / sq ft", 5 Cr,3400 ,Somajiguda,not approval by RERA
578,3 BHK Apartment in Hallmark Sunnyside,Hallmark Builders,Under Construction,"6,299 / sq ft", 1.11 Cr,1770 ,Manchirevula,approval by RERA
579,3 BHK Apartment in Hallmark Sunnyside,Hallmark Builders,Under Construction,"6,299 / sq ft", 1.03 Cr,1650 ,Manchirevula,approval by RERA
580,2 BHK Apartment in Hallmark Sunnyside,Hallmark Builders,Under Construction,"6,299 / sq ft", 78.73 L,1250 ,Manchirevula,approval by RERA
581,3 BHK Apartment in Hallmark Sunnyside,Hallmark Builders,Under Construction,"6,299 / sq ft", 1.18 Cr,1885 ,Manchirevula,approval by RERA
582,3 BHK Apartment in Hallmark Sunnyside,Hallmark Builders,Under Construction,"6,299 / sq ft", 1.14 Cr,1818 ,Manchirevula,approval by RERA
583,3 BHK Apartment in Hallmark Sunnyside,Hallmark Builders,Under Construction,"6,299 / sq ft", 1.29 Cr,2050 ,Manchirevula,approval by RERA
584,3 BHK Apartment in Hallmark Sunnyside,Hallmark Builders,Under Construction,"6,299 / sq ft", 1.28 Cr,2047 ,Manchirevula,approval by RERA
585,3 BHK Apartment in Hallmark Skyrena,Hallmark Builders,Under Construction,"6,499 / sq ft", 1.06 Cr,1635 ,Narsingi,approval by RERA
586,3 BHK Apartment in Hallmark Sunnyside,Hallmark Builders,Under Construction,"6,299 / sq ft", 1.08 Cr,1717 ,Manchirevula,approval by RERA
587,3 BHK Apartment in Hallmark Skyrena,Hallmark Builders,Under Construction,"6,499 / sq ft", 1.46 Cr,2255 ,Narsingi,approval by RERA
588,2 BHK Apartment in Hallmark Sunnyside,Hallmark Builders,Under Construction,"6,299 / sq ft", 81.25 L,1290 ,Manchirevula,approval by RERA
589,2 BHK Apartment in Hallmark Skyrena,Hallmark Builders,Under Construction,"6,499 / sq ft", 86.11 L,1325 ,Narsingi,approval by RERA
590,3 BHK Apartment in Hallmark Sunnyside,Hallmark Builders,Under Construction,"6,299 / sq ft", 1.16 Cr,1853 ,Manchirevula,approval by RERA
591,3 BHK Apartment in Hallmark Skyrena,Hallmark Builders,Under Construction,"6,499 / sq ft", 1.25 Cr,1935 ,Narsingi,approval by RERA
592,3 BHK Apartment in Hallmark Sunnyside,Hallmark Builders,Under Construction,"6,299 / sq ft", 1.29 Cr,2063 ,Manchirevula,approval by RERA
593,3 BHK Villa,seller,Under Construction,"5,000 / sq ft", 1.5 Cr,3000 ,Cherlapalli,not approval by RERA
594,3 BHK Apartment,seller,Ready to move,"5,800 / sq ft", 87 L,1500 ,Mallapur,not approval by RERA
595,3 BHK Apartment,seller,Ready to move,"5,800 / sq ft", 87 L,1500 ,Mallapur,not approval by RERA
596,3 BHK Villa,seller,Under Construction,"2,857 / sq ft", 80 L,2800 ,Indresham,not approval by RERA
597,3 BHK Apartment,seller,Under Construction,"5,312 / sq ft", 85 L,1600 ,Nagole,not approval by RERA
598,3 BHK Apartment in Creative Udaya Cresent,seller,Ready to move,"8,830 / sq ft", 2 Cr,2265 ,Kondapur,not approval by RERA
599,2 BHK Apartment in Sri Manikanta Residency,seller,Ready to move,"5,142 / sq ft", 54 L,1050 ,Miyapur,not approval by RERA
600,4 BHK Independent House,seller,Ready to move,"5,111 / sq ft", 92 L,1800 ,Aminpur,not approval by RERA
601,3 BHK Apartment,seller,Ready to move,"5,431 / sq ft", 80 L,1473 ,Nizampet,not approval by RERA
602,2 BHK Apartment,seller,Under Construction,"4,960 / sq ft", 62 L,1250 ,Miyapur,not approval by RERA
603,2 BHK Apartment in Vasathi Anandi,seller,Ready to move,"6,310 / sq ft", 65 L,1030 ,Appa Junction Peerancheru,not approval by RERA
604,3 BHK Independent House,seller,Ready to move,"12,182 / sq ft", 2.16 Cr,1773 ,Dilsukh Nagar,not approval by RERA
605,3 BHK Villa in Elite Rama Serenity,seller,Ready to move,"8,912 / sq ft", 2.5 Cr,2805 ,Kompally,not approval by RERA
606,3 BHK Apartment,seller,Under Construction,"2,586 / sq ft", 41 L,1585 ,Kompally,not approval by RERA
607,2 BHK Apartment,seller,Ready to move,"4,761 / sq ft", 58 L,1218 ,Vanasthalipuram,not approval by RERA
608,2 BHK Apartment,seller,Ready to move,"4,774 / sq ft", 53 L,1110 ,Vanasthalipuram,not approval by RERA
609,3 BHK Apartment,seller,Under Construction,"4,829 / sq ft", 71 L,1470 ,Vanasthalipuram,not approval by RERA
610,2 BHK Apartment,seller,Under Construction,"4,724 / sq ft", 48 L,1016 ,Badangpet,not approval by RERA
611,2 BHK Apartment in Bhuvanteza Aura II,seller,Under Construction,"2,882 / sq ft", 33 L,1145 ,Kollur,approval by RERA
612,2 BHK Apartment in Tranquillo MPR Urban City,seller,Under Construction,"4,065 / sq ft", 37 L,910 ,Patancheru,approval by RERA
613,3 BHK Apartment,seller,Ready to move,"4,484 / sq ft", 50 L,1115 ,Uppal,not approval by RERA
614,2 BHK Apartment,seller,Under Construction,"1,774 / sq ft", 22 L,1240 ,Isnapur,not approval by RERA
615,3 BHK Apartment,seller,Ready to move,"4,844 / sq ft", 75 L,1548 ,Neknampur,not approval by RERA
616,3 BHK Apartment in Swaraj Homes Udaya Park View,seller,Ready to move,"7,837 / sq ft", 1.45 Cr,1850 ,Himayat Nagar,not approval by RERA
617,4 BHK Independent House,seller,Ready to move,"4,074 / sq ft", 1.1 Cr,2700 ,Kapra,not approval by RERA
618,7 BHK Independent House,seller,Ready to move,"3,660 / sq ft", 2.05 Cr,5600 ,Rampally,not approval by RERA
619,3 BHK Villa in Praneeth Pranav Leaf,Praneeth Group,Under Construction,"8,108 / sq ft", 1.62 Cr,1998 ,Bachupally,approval by RERA
620,3 BHK Villa in Praneeth Pranav Leaf,Praneeth Group,Under Construction,"8,083 / sq ft", 1.75 Cr,2165 ,Bachupally,approval by RERA
621,3 BHK Villa in Praneeth Pranav Leaf,Praneeth Group,Under Construction,"7,878 / sq ft", 1.3 Cr,1650 ,Bachupally,approval by RERA
622,3 BHK Apartment,seller,Ready to move,"4,012 / sq ft", 65 L,1620 ,Manikonda,not approval by RERA
623,2 BHK Apartment,seller,Under Construction,"2,363 / sq ft", 26 L,1100 ,Indresham,not approval by RERA
624,2 BHK Independent Floor,seller,Ready to move,"5,284 / sq ft", 65 L,1230 ,Bowenpally,not approval by RERA
625,3 BHK Apartment,seller,Ready to move,"4,966 / sq ft", 75 L,1510 ,Pragathi Nagar Kukatpally,not approval by RERA
626,3 BHK Apartment in Aditya Empress Towers,seller,Ready to move,"8,000 / sq ft", 1.28 Cr,1600 ,Shaikpet,not approval by RERA
627,2 BHK Independent House,seller,Ready to move,"5,508 / sq ft", 65 L,1180 ,Munganoor,not approval by RERA
628,3 BHK Villa,seller,Ready to move,"4,107 / sq ft", 1.15 Cr,2800 ,Basuragadi Village,not approval by RERA
629,2 BHK Apartment,seller,Under Construction,"4,819 / sq ft", 60 L,1245 ,Vanasthalipuram,not approval by RERA
630,3 BHK Apartment,seller,Ready to move,"4,761 / sq ft", 70 L,1470 ,Vanasthalipuram,not approval by RERA
